image_names,cell_type,xmin,xmax,ymin,ymax
00006.jpg,Platelets,333,372,1,30
00006.jpg,RBC,79,202,357,459
00006.jpg,RBC,495,620,1,114
00006.jpg,RBC,353,476,327,463
00006.jpg,RBC,449,565,319,393
00006.jpg,RBC,291,403,104,194
00006.jpg,RBC,211,323,76,166
00006.jpg,RBC,207,319,350,440
00006.jpg,RBC,253,371,298,403
00006.jpg,RBC,546,639,368,480
00006.jpg,RBC,482,617,223,327
00006.jpg,RBC,503,619,160,246
00006.jpg,RBC,373,489,142,235
00006.jpg,RBC,108,235,121,216
00006.jpg,RBC,16,143,59,154
00007.jpg,WBC,193,387,92,285
00007.jpg,RBC,17,134,298,402
00007.jpg,RBC,64,175,372,479
00007.jpg,RBC,119,230,330,437
00007.jpg,RBC,169,259,265,374
00007.jpg,RBC,191,281,291,400
00007.jpg,RBC,213,303,305,414
00007.jpg,RBC,247,337,315,424
00007.jpg,RBC,495,601,300,402
00007.jpg,RBC,534,640,371,473
00007.jpg,RBC,510,616,7,109
00007.jpg,RBC,515,639,44,152
00007.jpg,RBC,18,142,124,232
00007.jpg,RBC,70,194,63,171
00007.jpg,RBC,19,143,29,137
00007.jpg,RBC,270,392,1,71
00007.jpg,RBC,254,340,427,480
00007.jpg,RBC,298,381,434,480
00008.jpg,WBC,42,277,183,381
00008.jpg,RBC,398,519,222,330
00008.jpg,RBC,505,626,103,211
00008.jpg,RBC,366,472,315,413
00008.jpg,RBC,456,562,312,410
00008.jpg,RBC,524,630,250,348
00008.jpg,RBC,534,640,335,433
00008.jpg,RBC,353,459,43,141
00008.jpg,RBC,316,422,43,141
00008.jpg,RBC,265,371,25,123
00008.jpg,RBC,221,327,18,116
00008.jpg,RBC,109,221,1,85
00008.jpg,RBC,1,96,166,299
00008.jpg,RBC,263,365,402,480
00008.jpg,RBC,178,280,402,480
00008.jpg,RBC,1,102,1,77
00008.jpg,RBC,196,313,135,215
00008.jpg,RBC,447,607,392,480
00008.jpg,RBC,148,234,62,172
00008.jpg,RBC,438,564,1,85
00009.jpg,WBC,23,255,137,423
00009.jpg,RBC,441,575,324,423
00009.jpg,RBC,372,468,192,279
00009.jpg,RBC,305,401,213,300
00009.jpg,RBC,226,324,288,439
00009.jpg,RBC,313,408,318,414
00009.jpg,RBC,282,377,384,480
00009.jpg,RBC,446,567,97,206
00009.jpg,RBC,440,561,1,96
00009.jpg,RBC,214,331,107,198
00009.jpg,RBC,298,435,85,211
00009.jpg,RBC,7,133,76,197
00009.jpg,RBC,1,115,1,94
00009.jpg,RBC,286,394,1,65
00009.jpg,RBC,154,289,13,127
00009.jpg,Platelets,452,493,415,449
00009.jpg,RBC,479,575,155,242
00009.jpg,RBC,135,231,393,480
00010.jpg,WBC,23,204,229,421
00010.jpg,WBC,239,510,253,470
00010.jpg,RBC,167,269,212,331
00010.jpg,RBC,69,170,138,243
00010.jpg,RBC,43,126,84,171
00010.jpg,RBC,275,358,166,253
00010.jpg,RBC,311,394,179,266
00010.jpg,RBC,267,350,69,156
00010.jpg,RBC,307,390,75,162
00010.jpg,RBC,339,422,80,167
00010.jpg,RBC,456,550,1,68
00010.jpg,RBC,314,429,1,69
00010.jpg,RBC,200,310,1,43
00010.jpg,RBC,16,100,1,79
00010.jpg,RBC,406,538,80,185
00010.jpg,RBC,560,640,236,345
00010.jpg,RBC,571,640,174,260
00010.jpg,RBC,566,640,76,160
00011.jpg,WBC,109,304,119,332
00011.jpg,RBC,364,453,201,279
00011.jpg,RBC,416,505,167,245
00011.jpg,RBC,459,548,111,189
00011.jpg,RBC,462,551,142,240
00011.jpg,RBC,505,576,163,240
00011.jpg,RBC,476,583,235,332
00011.jpg,RBC,14,117,296,409
00011.jpg,RBC,220,313,8,112
00011.jpg,RBC,342,435,48,152
00011.jpg,RBC,317,434,74,180
00011.jpg,RBC,258,352,79,171
00011.jpg,RBC,404,498,291,394
00011.jpg,RBC,199,293,337,440
00011.jpg,RBC,85,211,372,477
00011.jpg,RBC,104,212,1,117
00011.jpg,Platelets,85,122,153,196
00011.jpg,RBC,262,354,419,480
00011.jpg,RBC,1,94,77,180
00012.jpg,WBC,2,228,187,359
00012.jpg,RBC,349,475,146,240
00012.jpg,RBC,377,483,210,314
00012.jpg,RBC,401,507,299,403
00012.jpg,RBC,296,386,281,387
00012.jpg,RBC,251,344,311,439
00012.jpg,RBC,168,264,304,402
00012.jpg,RBC,14,125,335,434
00012.jpg,RBC,126,251,393,479
00012.jpg,RBC,329,412,376,477
00012.jpg,RBC,519,622,356,455
00012.jpg,RBC,476,579,257,356
00012.jpg,RBC,489,592,193,292
00012.jpg,RBC,564,640,232,328
00012.jpg,Platelets,417,463,403,440
00012.jpg,Platelets,351,397,44,81
00012.jpg,RBC,220,303,20,107
00012.jpg,RBC,495,605,82,204
00012.jpg,RBC,299,381,431,480
00013.jpg,WBC,31,238,208,406
00013.jpg,RBC,255,371,283,392
00013.jpg,RBC,405,517,288,420
00013.jpg,RBC,369,486,77,223
00013.jpg,RBC,90,200,98,189
00013.jpg,RBC,203,313,365,456
00013.jpg,RBC,318,427,396,480
00013.jpg,RBC,574,639,160,281
00013.jpg,RBC,466,564,57,174
00013.jpg,RBC,547,638,48,144
00013.jpg,RBC,500,599,214,325
00013.jpg,RBC,184,299,12,118
00013.jpg,RBC,105,220,34,140
00013.jpg,RBC,455,555,404,480
00013.jpg,RBC,324,424,402,478
00014.jpg,WBC,236,379,211,353
00014.jpg,RBC,158,258,140,234
00014.jpg,RBC,78,197,334,435
00014.jpg,RBC,1,72,137,242
00014.jpg,RBC,33,152,89,189
00014.jpg,RBC,53,172,15,115
00014.jpg,RBC,336,406,1,93
00014.jpg,RBC,297,422,78,173
00014.jpg,RBC,224,352,76,191
00014.jpg,RBC,215,334,380,480
00014.jpg,RBC,356,447,303,393
00014.jpg,RBC,393,484,215,305
00014.jpg,RBC,448,545,406,480
00014.jpg,RBC,431,554,1,102
00014.jpg,Platelets,362,405,389,428
00014.jpg,Platelets,233,276,340,379
00014.jpg,RBC,542,630,289,399
00014.jpg,RBC,579,640,131,236
00014.jpg,RBC,525,618,70,176
00015.jpg,WBC,145,361,4,240
00015.jpg,RBC,353,428,135,232
00015.jpg,RBC,354,448,12,128
00015.jpg,RBC,440,540,78,160
00015.jpg,RBC,537,638,47,144
00015.jpg,RBC,435,538,1,75
00015.jpg,RBC,411,522,359,459
00015.jpg,RBC,266,374,409,480
00015.jpg,RBC,1,134,396,480
00015.jpg,RBC,1,102,272,379
00015.jpg,RBC,62,165,62,169
00015.jpg,RBC,248,351,201,308
00015.jpg,RBC,91,204,300,391
00015.jpg,RBC,564,640,140,240
00015.jpg,Platelets,291,337,373,410
00015.jpg,RBC,373,484,202,302
00016.jpg,WBC,151,329,118,279
00016.jpg,RBC,121,242,323,440
00016.jpg,RBC,324,418,115,236
00016.jpg,RBC,450,542,329,442
00016.jpg,RBC,427,519,364,477
00016.jpg,RBC,230,346,333,449
00016.jpg,RBC,448,549,91,168
00016.jpg,RBC,570,640,290,403
00016.jpg,RBC,523,637,69,174
00016.jpg,RBC,334,451,219,337
00016.jpg,RBC,449,566,227,345
00016.jpg,RBC,66,160,155,276
00016.jpg,Platelets,97,129,327,365
00017.jpg,WBC,128,336,215,391
00017.jpg,RBC,406,514,176,272
00017.jpg,RBC,400,510,73,181
00017.jpg,RBC,215,299,87,187
00017.jpg,RBC,435,547,302,400
00017.jpg,RBC,424,536,354,452
00017.jpg,RBC,131,235,382,470
00017.jpg,RBC,481,585,164,252
00017.jpg,RBC,5,102,335,434
00017.jpg,RBC,1,53,101,205
00017.jpg,RBC,221,340,390,464
00017.jpg,RBC,156,260,1,84
00017.jpg,RBC,279,381,37,145
00017.jpg,RBC,528,621,1,87
00017.jpg,RBC,488,581,11,98
00017.jpg,RBC,4,106,245,353
00017.jpg,RBC,322,424,335,443
00017.jpg,Platelets,382,419,47,79
00018.jpg,WBC,302,481,1,166
00018.jpg,RBC,167,307,100,197
00018.jpg,RBC,210,319,1,64
00018.jpg,RBC,561,639,74,183
00018.jpg,RBC,130,230,26,125
00018.jpg,RBC,74,164,189,277
00018.jpg,RBC,304,394,162,250
00018.jpg,RBC,363,453,163,251
00018.jpg,RBC,410,500,152,240
00018.jpg,RBC,430,520,131,219
00018.jpg,RBC,483,573,109,197
00018.jpg,RBC,541,631,276,364
00018.jpg,RBC,572,640,181,287
00018.jpg,RBC,286,375,424,480
00018.jpg,RBC,308,421,240,325
00018.jpg,RBC,189,278,345,423
00018.jpg,RBC,1,89,213,340
00018.jpg,RBC,67,182,324,447
00018.jpg,RBC,17,131,45,168
00018.jpg,RBC,21,114,1,86
00018.jpg,RBC,243,333,189,277
00018.jpg,RBC,241,331,259,347
00019.jpg,WBC,107,295,97,267
00019.jpg,RBC,41,126,158,280
00019.jpg,RBC,410,513,315,430
00019.jpg,RBC,524,627,332,447
00019.jpg,RBC,461,564,348,463
00019.jpg,RBC,227,343,398,480
00019.jpg,RBC,133,249,398,480
00019.jpg,RBC,125,241,366,448
00019.jpg,RBC,373,476,150,243
00019.jpg,RBC,492,595,196,289
00019.jpg,RBC,297,428,201,315
00019.jpg,RBC,532,615,48,142
00019.jpg,RBC,1,56,122,255
00019.jpg,RBC,88,237,1,93
00019.jpg,RBC,231,317,251,336
00019.jpg,RBC,164,270,284,376
00019.jpg,RBC,320,423,133,226
00020.jpg,Platelets,419,478,189,236
00020.jpg,WBC,352,475,364,447
00020.jpg,RBC,226,333,99,206
00020.jpg,RBC,404,511,25,132
00020.jpg,RBC,511,618,38,145
00020.jpg,RBC,457,564,206,313
00020.jpg,RBC,478,585,370,477
00020.jpg,RBC,287,394,238,345
00020.jpg,Platelets,372,406,343,374
00020.jpg,RBC,40,147,277,384
00020.jpg,RBC,1,79,277,379
00020.jpg,RBC,80,187,166,273
00020.jpg,RBC,143,250,245,352
00020.jpg,RBC,144,251,366,473
00020.jpg,RBC,142,249,364,471
00020.jpg,RBC,109,216,41,148
00020.jpg,RBC,460,567,59,166
00020.jpg,RBC,570,640,256,357
00020.jpg,RBC,61,169,383,480
00020.jpg,RBC,1,106,128,235
00020.jpg,RBC,40,149,1,95
00020.jpg,RBC,165,274,1,95
00020.jpg,Platelets,80,115,128,161
00021.jpg,WBC,330,494,302,438
00021.jpg,Platelets,375,422,103,146
00021.jpg,Platelets,483,530,184,227
00021.jpg,RBC,363,483,141,255
00021.jpg,RBC,274,394,161,275
00021.jpg,RBC,215,335,219,333
00021.jpg,RBC,97,217,335,449
00021.jpg,RBC,5,125,262,376
00021.jpg,RBC,50,170,229,343
00021.jpg,RBC,1,104,102,197
00021.jpg,RBC,72,176,98,193
00021.jpg,RBC,521,625,109,204
00021.jpg,RBC,581,640,100,194
00021.jpg,RBC,378,475,1,76
00021.jpg,RBC,209,318,1,111
00021.jpg,RBC,117,207,1,87
00021.jpg,RBC,568,639,347,461
00021.jpg,RBC,168,288,84,198
00021.jpg,RBC,221,341,361,475
00022.jpg,WBC,108,281,194,372
00022.jpg,Platelets,99,138,329,360
00022.jpg,Platelets,149,188,1,30
00022.jpg,Platelets,394,433,199,230
00022.jpg,RBC,17,130,163,255
00022.jpg,RBC,1,113,197,289
00022.jpg,RBC,289,392,142,234
00022.jpg,RBC,340,443,81,173
00022.jpg,RBC,275,392,22,126
00022.jpg,RBC,441,579,59,163
00022.jpg,RBC,471,579,143,263
00022.jpg,RBC,557,639,359,480
00022.jpg,RBC,406,538,374,480
00022.jpg,RBC,272,389,389,480
00022.jpg,RBC,378,482,249,349
00022.jpg,RBC,15,100,12,147
00023.jpg,WBC,98,281,34,206
00023.jpg,RBC,277,387,113,233
00023.jpg,RBC,388,498,82,202
00023.jpg,RBC,306,416,243,363
00023.jpg,RBC,186,291,268,381
00023.jpg,RBC,296,423,364,480
00023.jpg,RBC,511,638,147,263
00023.jpg,RBC,62,174,414,480
00023.jpg,RBC,37,141,1,76
00023.jpg,RBC,29,117,152,247
00023.jpg,RBC,494,594,1,74
00023.jpg,RBC,572,640,264,345
00023.jpg,RBC,524,640,354,453
00023.jpg,RBC,15,109,220,334
00023.jpg,Platelets,132,171,292,340
00023.jpg,RBC,343,468,1,110
00023.jpg,RBC,209,305,245,327
00023.jpg,RBC,177,273,219,301
00024.jpg,WBC,310,471,1,128
00024.jpg,RBC,89,192,89,206
00024.jpg,RBC,265,368,114,231
00024.jpg,RBC,203,295,176,318
00024.jpg,RBC,109,204,195,306
00024.jpg,RBC,391,486,117,228
00024.jpg,RBC,376,471,250,361
00024.jpg,RBC,314,419,357,477
00024.jpg,RBC,25,142,309,428
00024.jpg,RBC,497,604,1,97
00024.jpg,RBC,578,640,144,248
00024.jpg,RBC,570,640,252,390
00024.jpg,RBC,494,588,325,427
00024.jpg,RBC,399,517,334,457
00024.jpg,RBC,19,103,234,344
00024.jpg,RBC,484,587,196,313
00026.jpg,WBC,387,564,1,102
00026.jpg,RBC,178,287,2,113
00026.jpg,RBC,114,223,154,265
00026.jpg,RBC,102,211,60,171
00026.jpg,RBC,42,151,70,181
00026.jpg,RBC,1,94,112,227
00026.jpg,RBC,2,113,171,287
00026.jpg,RBC,424,535,270,386
00026.jpg,RBC,173,282,362,460
00026.jpg,RBC,86,195,358,456
00026.jpg,RBC,253,350,151,245
00026.jpg,RBC,497,608,196,294
00026.jpg,RBC,317,426,351,471
00026.jpg,RBC,202,329,280,394
00026.jpg,RBC,295,422,202,316
00026.jpg,RBC,436,574,94,210
00026.jpg,RBC,294,407,78,194
00026.jpg,Platelets,146,186,269,304
00026.jpg,Platelets,282,322,425,460
00028.jpg,WBC,255,430,1,160
00028.jpg,RBC,224,316,177,272
00028.jpg,RBC,328,431,290,391
00028.jpg,RBC,203,306,308,409
00028.jpg,RBC,1,107,281,404
00028.jpg,RBC,143,250,118,241
00028.jpg,RBC,1,70,98,217
00028.jpg,RBC,1,82,185,272
00028.jpg,RBC,89,171,243,330
00028.jpg,RBC,129,246,409,480
00028.jpg,RBC,166,269,221,322
00028.jpg,RBC,119,220,1,68
00028.jpg,RBC,192,272,1,60
00028.jpg,RBC,387,491,167,266
00028.jpg,RBC,441,505,195,267
00028.jpg,RBC,553,639,181,285
00028.jpg,RBC,534,620,228,332
00028.jpg,RBC,553,639,362,480
00028.jpg,RBC,553,640,1,104
00028.jpg,RBC,462,583,58,190
00028.jpg,RBC,385,501,75,181
00028.jpg,RBC,266,388,328,450
00029.jpg,WBC,75,224,179,315
00029.jpg,Platelets,440,495,283,317
00029.jpg,RBC,241,358,86,199
00029.jpg,RBC,212,293,48,142
00029.jpg,RBC,364,463,143,228
00029.jpg,RBC,424,545,137,228
00029.jpg,RBC,227,348,193,300
00029.jpg,RBC,207,328,265,372
00029.jpg,RBC,139,260,320,427
00029.jpg,RBC,256,377,365,472
00029.jpg,RBC,390,511,356,463
00029.jpg,RBC,506,624,110,196
00029.jpg,RBC,517,638,57,148
00029.jpg,RBC,421,526,8,107
00029.jpg,RBC,70,200,23,145
00029.jpg,RBC,19,129,70,186
00029.jpg,RBC,1,87,128,251
00029.jpg,RBC,1,79,194,318
00029.jpg,RBC,1,75,264,366
00029.jpg,RBC,1,75,310,412
00029.jpg,RBC,24,105,355,459
00029.jpg,RBC,11,103,423,480
00029.jpg,RBC,207,300,1,51
00029.jpg,RBC,275,365,1,74
00030.jpg,WBC,1,143,191,333
00030.jpg,RBC,123,230,249,370
00030.jpg,RBC,149,229,113,219
00030.jpg,RBC,198,278,117,223
00030.jpg,RBC,195,264,58,144
00030.jpg,RBC,291,383,270,377
00030.jpg,RBC,324,429,402,480
00030.jpg,RBC,359,464,402,480
00030.jpg,RBC,375,472,239,340
00030.jpg,RBC,457,554,191,292
00030.jpg,RBC,299,415,174,277
00030.jpg,RBC,458,556,387,480
00030.jpg,RBC,1,75,322,425
00030.jpg,RBC,1,67,63,191
00030.jpg,RBC,297,428,1,81
00030.jpg,RBC,500,597,238,339
00030.jpg,RBC,485,582,281,382
00030.jpg,RBC,473,570,338,439
00030.jpg,RBC,572,640,356,455
00030.jpg,RBC,525,640,7,148
00030.jpg,RBC,445,558,35,159
00030.jpg,Platelets,347,389,91,137
00030.jpg,Platelets,405,447,86,132
00030.jpg,Platelets,301,343,23,69
00030.jpg,RBC,286,396,123,229
00031.jpg,WBC,127,270,143,273
00031.jpg,WBC,287,437,364,480
00031.jpg,RBC,153,257,383,480
00031.jpg,RBC,47,151,358,455
00031.jpg,RBC,83,187,321,418
00031.jpg,RBC,332,436,153,250
00031.jpg,RBC,395,514,228,329
00031.jpg,RBC,520,631,396,480
00031.jpg,RBC,556,640,319,404
00031.jpg,RBC,522,630,254,342
00031.jpg,RBC,512,620,190,278
00031.jpg,RBC,534,640,58,181
00031.jpg,RBC,453,593,1,71
00031.jpg,Platelets,241,298,381,426
00031.jpg,Platelets,110,148,247,289
00031.jpg,Platelets,343,381,108,150
00031.jpg,Platelets,409,447,88,130
00031.jpg,RBC,301,405,211,308
00031.jpg,RBC,251,355,264,361
00031.jpg,RBC,27,141,1,98
00031.jpg,RBC,1,91,65,160
00031.jpg,RBC,57,148,62,157
00031.jpg,RBC,1,94,246,370
00031.jpg,RBC,407,493,193,269
00032.jpg,WBC,158,285,77,198
00032.jpg,RBC,233,343,274,379
00032.jpg,RBC,288,398,66,171
00032.jpg,RBC,356,446,251,345
00032.jpg,RBC,455,545,295,389
00032.jpg,RBC,419,509,312,406
00032.jpg,RBC,332,457,365,474
00032.jpg,RBC,199,297,221,309
00032.jpg,RBC,86,215,323,437
00032.jpg,RBC,50,160,1,92
00032.jpg,RBC,174,273,16,96
00032.jpg,RBC,406,517,1,89
00032.jpg,RBC,517,628,136,225
00032.jpg,RBC,521,632,197,286
00032.jpg,RBC,546,640,248,345
00032.jpg,RBC,464,558,101,198
00032.jpg,RBC,411,505,65,162
00032.jpg,RBC,421,515,134,231
00032.jpg,RBC,416,520,158,258
00032.jpg,RBC,391,495,160,260
00032.jpg,RBC,350,454,182,282
00032.jpg,RBC,50,172,238,342
00032.jpg,RBC,454,580,408,480
00032.jpg,RBC,1,89,366,480
00032.jpg,Platelets,102,140,105,151
00033.jpg,WBC,129,280,109,251
00033.jpg,RBC,83,192,230,332
00033.jpg,RBC,303,394,238,359
00033.jpg,RBC,276,346,245,365
00033.jpg,RBC,244,314,269,389
00033.jpg,RBC,219,289,287,407
00033.jpg,RBC,190,260,291,411
00033.jpg,RBC,442,551,219,321
00033.jpg,RBC,391,500,207,309
00033.jpg,RBC,468,577,303,405
00033.jpg,RBC,575,640,331,434
00033.jpg,RBC,568,640,89,185
00033.jpg,RBC,532,640,36,134
00033.jpg,RBC,350,465,74,185
00033.jpg,RBC,297,414,1,91
00033.jpg,RBC,348,463,369,480
00033.jpg,RBC,177,286,389,480
00033.jpg,RBC,68,163,22,131
00033.jpg,RBC,198,291,1,89
00034.jpg,WBC,350,543,181,359
00034.jpg,WBC,310,458,351,480
00034.jpg,Platelets,524,562,334,377
00034.jpg,Platelets,52,90,85,128
00034.jpg,RBC,127,259,130,270
00034.jpg,RBC,97,205,298,415
00034.jpg,RBC,1,107,336,453
00034.jpg,RBC,62,174,407,480
00034.jpg,RBC,518,602,1,98
00034.jpg,RBC,484,568,17,128
00034.jpg,RBC,452,537,34,145
00034.jpg,RBC,409,494,54,165
00034.jpg,RBC,358,443,84,195
00034.jpg,RBC,555,640,282,393
00034.jpg,RBC,571,640,352,464
00034.jpg,RBC,102,175,23,128
00034.jpg,RBC,143,226,22,126
00034.jpg,RBC,278,372,16,121
00034.jpg,RBC,207,320,283,401
00035.jpg,WBC,183,334,285,425
00035.jpg,RBC,160,266,155,279
00035.jpg,RBC,1,105,29,153
00035.jpg,RBC,89,196,103,215
00035.jpg,RBC,41,147,168,280
00035.jpg,RBC,82,189,234,346
00035.jpg,RBC,32,138,260,372
00035.jpg,RBC,1,102,345,444
00035.jpg,RBC,292,395,401,480
00035.jpg,RBC,381,487,319,419
00035.jpg,RBC,456,534,312,419
00035.jpg,RBC,478,594,277,406
00035.jpg,RBC,567,640,243,353
00035.jpg,RBC,559,640,389,480
00035.jpg,RBC,504,607,97,185
00035.jpg,RBC,374,533,83,207
00035.jpg,RBC,305,408,1,88
00035.jpg,RBC,243,346,146,234
00035.jpg,RBC,316,419,236,324
00035.jpg,Platelets,146,182,337,382
00035.jpg,Platelets,108,144,352,397
00035.jpg,Platelets,171,207,413,458
00035.jpg,RBC,83,201,1,77
00036.jpg,WBC,107,287,242,423
00036.jpg,RBC,207,319,106,209
00036.jpg,RBC,166,278,130,233
00036.jpg,RBC,405,499,171,274
00036.jpg,RBC,487,599,106,209
00036.jpg,RBC,545,640,315,428
00036.jpg,RBC,260,355,370,480
00036.jpg,RBC,1,88,266,360
00036.jpg,RBC,1,99,138,242
00036.jpg,RBC,60,160,87,191
00036.jpg,RBC,301,429,21,135
00036.jpg,RBC,397,494,60,168
00036.jpg,RBC,543,639,242,350
00036.jpg,RBC,391,453,168,270
00036.jpg,RBC,421,518,1,80
00036.jpg,RBC,480,577,1,80
00036.jpg,Platelets,162,198,91,126
00036.jpg,RBC,468,562,264,367
00036.jpg,RBC,107,210,1,86
00036.jpg,RBC,70,205,389,477
00037.jpg,WBC,421,541,302,420
00037.jpg,RBC,187,291,107,225
00037.jpg,RBC,272,375,89,180
00037.jpg,RBC,251,354,175,266
00037.jpg,RBC,268,371,199,290
00037.jpg,RBC,529,636,130,252
00037.jpg,RBC,553,640,191,296
00037.jpg,RBC,479,566,215,320
00037.jpg,RBC,448,535,186,291
00037.jpg,RBC,410,497,177,282
00037.jpg,RBC,362,449,156,261
00037.jpg,RBC,520,607,33,138
00037.jpg,RBC,479,566,26,131
00037.jpg,RBC,389,476,15,120
00037.jpg,RBC,96,183,382,471
00037.jpg,RBC,14,101,320,409
00037.jpg,RBC,17,104,76,165
00037.jpg,RBC,14,115,136,238
00037.jpg,RBC,37,138,171,273
00037.jpg,RBC,48,147,5,81
00037.jpg,RBC,113,212,13,89
00037.jpg,RBC,126,225,31,107
00037.jpg,RBC,543,640,335,440
00037.jpg,RBC,331,424,436,480
00037.jpg,RBC,179,292,305,411
00037.jpg,RBC,145,258,241,347
00037.jpg,RBC,95,208,224,330
00037.jpg,Platelets,132,174,111,157
00037.jpg,Platelets,364,397,63,101
00037.jpg,RBC,1,102,248,347
00038.jpg,WBC,415,533,304,427
00038.jpg,RBC,155,255,389,455
00038.jpg,RBC,96,194,399,476
00038.jpg,RBC,11,91,261,360
00038.jpg,RBC,19,99,312,411
00038.jpg,RBC,14,94,77,176
00038.jpg,RBC,22,122,142,243
00038.jpg,RBC,61,140,194,295
00038.jpg,RBC,93,172,224,325
00038.jpg,RBC,117,196,233,334
00038.jpg,RBC,171,265,236,340
00038.jpg,RBC,265,359,186,290
00038.jpg,RBC,186,294,112,236
00038.jpg,Platelets,140,174,117,156
00038.jpg,Platelets,373,407,62,101
00038.jpg,RBC,281,373,94,176
00038.jpg,RBC,515,607,41,123
00038.jpg,RBC,472,565,15,138
00038.jpg,RBC,544,638,128,251
00038.jpg,RBC,562,640,206,299
00038.jpg,RBC,475,568,229,323
00038.jpg,RBC,439,532,191,285
00038.jpg,RBC,392,485,178,272
00038.jpg,RBC,547,640,332,426
00038.jpg,RBC,547,640,386,480
00038.jpg,RBC,488,581,386,480
00038.jpg,RBC,137,230,15,109
00038.jpg,RBC,385,478,30,124
00039.jpg,WBC,107,270,212,347
00039.jpg,RBC,245,370,86,198
00039.jpg,RBC,47,140,165,259
00039.jpg,RBC,12,145,76,179
